statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;2_variable_code;2_variable_label;2_variable_attribute_code;2_variable_attribute_label;3_variable_code;3_variable_label;3_variable_attribute_code;3_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label
21611;Kulturstatistik;JAHR;Jahr;2009;DINSG;Deutschland insgesamt;DG;Deutschland;RFOER1;Öffentlich-rechtliche Rundfunkanstalten;RFA-DW;Deutsche Welle (DW);HFSAT1;Art der Hörfunksendung;;Insgesamt;38501;h;SEND01;Sendezeit
21611;Kulturstatistik;JAHR;Jahr;2012;DINSG;Deutschland insgesamt;DG;Deutschland;RFOER1;Öffentlich-rechtliche Rundfunkanstalten;RFA-WDR;Westdeutscher Rundfunk (WDR);HFSAT1;Art der Hörfunksendung;SEND-WORT;Wortsendungen;21557;h;SEND01;Sendezeit
21611;Kulturstatistik;JAHR;Jahr;2023;DINSG;Deutschland insgesamt;DG;Deutschland;RFOER1;Öffentlich-rechtliche Rundfunkanstalten;RFA-WDR;Westdeutscher Rundfunk (WDR);HFSAT1;Art der Hörfunksendung;SEND-WORT;Wortsendungen;19550;h;SEND01;Sendezeit
21611;Kulturstatistik;JAHR;Jahr;2023;DINSG;Deutschland insgesamt;DG;Deutschland;RFOER1;Öffentlich-rechtliche Rundfunkanstalten;RFA-NDR;Norddeutscher Rundfunk (NDR);HFSAT1;Art der Hörfunksendung;SEND-MUSIK;Musiksendungen;20157;h;SEND01;Sendezeit
21611;Kulturstatistik;JAHR;Jahr;2007;DINSG;Deutschland insgesamt;DG;Deutschland;RFOER1;Öffentlich-rechtliche Rundfunkanstalten;RFA-DLF;Deutschlandfunk (DLF);HFSAT1;Art der Hörfunksendung;SEND-MUSIK;Musiksendungen;1748;h;SEND01;Sendezeit
21611;Kulturstatistik;JAHR;Jahr;2000;DINSG;Deutschland insgesamt;DG;Deutschland;RFOER1;Öffentlich-rechtliche Rundfunkanstalten;RFA-HR;Hessischer Rundfunk (HR);HFSAT1;Art der Hörfunksendung;;Insgesamt;57960;h;SEND01;Sendezeit
21611;Kulturstatistik;JAHR;Jahr;2020;DINSG;Deutschland insgesamt;DG;Deutschland;RFOER1;Öffentlich-rechtliche Rundfunkanstalten;RFA-NDR;Norddeutscher Rundfunk (NDR);HFSAT1;Art der Hörfunksendung;SEND-WORT;Wortsendungen;51571;h;SEND01;Sendezeit
21611;Kulturstatistik;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;RFOER1;Öffentlich-rechtliche Rundfunkanstalten;RFA-RB;Radio Bremen (RB);HFSAT1;Art der Hörfunksendung;SEND-WORT;Wortsendungen;15486;h;SEND01;Sendezeit
21611;Kulturstatistik;JAHR;Jahr;2003;DINSG;Deutschland insgesamt;DG;Deutschland;RFOER1;Öffentlich-rechtliche Rundfunkanstalten;RFA-DLF;Deutschlandfunk (DLF);HFSAT1;Art der Hörfunksendung;SEND-WERBUNG;Werbefunk;-;h;SEND01;Sendezeit
21611;Kulturstatistik;JAHR;Jahr;2001;DINSG;Deutschland insgesamt;DG;Deutschland;RFOER1;Öffentlich-rechtliche Rundfunkanstalten;RFA-BR;Bayerischer Rundfunk (BR);HFSAT1;Art der Hörfunksendung;SEND-WORT;Wortsendungen;20273;h;SEND01;Sendezeit
